"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"RCRAINFO","SCD981752017","34.452985","-79.917967","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987597960","33.561873","-81.704366","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982098410","34.262568","-81.603468","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987591740","34.8884","-82.359042","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD981854599","33.968093","-81.013441","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987582806","34.755586","-82.384069","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000775155","32.882238","-79.993148","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SC0000056077","34.797294","-82.306822","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982171597","34.91425","-82.428032","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987579000","34.974216","-82.429781","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987566635","35.070108","-81.677915","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987591864","34.837392","-82.294763","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987589199","33.317444","-79.31675","RCRIS","","","","","REGULATED ENTITY","SC"
